num	attraction	latitude	longitude
508	Everyman Cinemas Screen on the Green	51.5367522	-0.1033635
509	Battersea Power Station	51.4818235	-0.1443983
510	Park Lane	51.5082019	-0.1545589
511	RAF Museum Hendon	51.6034083	-0.2419837
512	St. Magnus The Martyr	51.5091228	-0.08295659999999999
513	Polka Theatre for Children	51.4196055	-0.1949644
514	Billingsgate Roman Bath House	51.5092742	-0.0830566
515	Angel	51.5073509	-0.1277583
516	Peckham Rye Park	51.4595857	-0.0638687
517	Tricycle Theatre	51.54332309999999	-0.2000048
518	Spitalfields City Farm	51.521583	-0.065332
519	Royal College of Physicians	51.5258654	-0.1452812
520	Southwark Brewing Company	51.500401	-0.0764489
521	Exmouth Market	51.5264898	-0.1078746
522	Riverside Studios	51.4885691	-0.2271638
523	St. Margarets Church Westminster Abbey	51.500138	-0.1262806
524	Barbican Gallery	51.5200574	-0.0937946
525	Elizabeth Garrett Anderson Room	51.5280077	-0.1313001
526	Tower 42	51.5152282	-0.0837587
527	Lower Marsh Market	51.5012093	-0.1119416
528	Gabriel's Wharf	51.5075239	-0.1095225
529	Shakespeare Monument	51.5105977	-0.129599
530	VauxWall Climbing Centre	51.4853813	-0.1233208
531	Blackheath	51.5073509	-0.1277583
532	Finsbury Park	51.5073509	-0.1277583
533	SEA LIFE London Aquarium	51.50196330000001	-0.1188522
534	Paul Smith Sale Shop	51.5127309	-0.1464285
535	Royal Artillery Memorial	51.5072682	-0.1657303
536	London Fields Brewery	51.5386991	-0.0580466
537	The London Pass	51.5099715	-0.1285721
538	Speakers' Corner	51.5131099	-0.1589148
539	Heron Tower	51.5162529	-0.0809449
540	Victoria Station Travel Information Centre	51.4926352	-0.1491003
541	Castle Climbing Centre	51.5653078	-0.09234840000000001
542	The View Tube	51.5353583	-0.0130931
543	Chickenshed Theatre	51.6444009	-0.145416
544	Brent Cross Shopping Centre	51.5752872	-0.2232707
545	Brunel Museum	51.5015891	-0.0529493
546	Olympia London	51.49505389999999	-0.211456
547	Buddhapadipa Temple	51.4309683	-0.2203609
548	White Bear Theatre	51.48694709999999	-0.1076791
549	Victoria Miro Gallery	51.5303708	-0.0950403
550	Open Garden Squares Weekend	51.5031723	-0.1306315
551	All Souls Church	51.518165	-0.1430511
552	St Alfege Church	51.4809435	-0.0095862
553	Inner Temple	51.5128905	-0.1097816
554	Emery Walker Arts & Crafts house	51.4898355	-0.2424588
555	Vestry House Museum	51.583218	-0.0129821
556	St Mary Abbots Church	51.5019682	-0.1908713
557	Bloomsbury Square	51.5073509	-0.1277583
558	Woolwich Foot Tunnel	51.4939773	0.06248129999999999
559	Alfies Antiques Market	51.5241887	-0.1688101
